sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
97.534/2.1,1027871.805,1285651.291,708510.428,789860.487,699318.6535,534622.386,2219944.386,488346.7224,1116046.318,683244.4641,1546989.165,453527.9115,815892.4299,862319.1333,686230.8584,250031.619,223433.6893,257173.2349,67691.69795,45247.209,1909569.917,284311.1235,54468.66744,352191.9918,206773.4776,176147.8559,494272.3039,178031.7825,153412.0574,118815.6152
282.117/6.5,280529.4719,138070.2922,127398.1765,1075286.688,89472.65324,2105789.967,586072.1587,435101.5368,111991.5357,219869.0865,151794.3947,192043.4846,252248.4384,57976.95323,325335.7398,1990470.661,1540193.866,1834134.926,988937.1227,2446483.188,657152.1729,412291.147,4367212.121,576689.5752,1130940.998,2514248.453,347475.353,605234.3784,2656879.468,3523189.123
208.097/14.4,484452.1358,1488367.579,572042.0336,3087815.139,977357.0468,3383776.983,4152468.818,3308382.407,520951.4771,732494.906,951155.6734,831787.6923,1239502.516,742565.482,481781.5428,3195473.929,8556244.111,3084931.31,5219845.068,4011120.41,2474534.91,1325148.361,7082975.603,4732661.58,6809255.692,4034674.097,1075765.246,1042568.912,2424836.549,7549888.479
146.5/2.1,1943398.008,3311407.859,1042407.406,3483701.668,1594829.364,459374.4641,5588804.365,567418.2145,3624912.879,600040.3732,1571594.395,686268.1452,1628013.379,1696010.12,1048387.045,186957.7509,210280.2526,184468.2505,28433.24382,54362.36425,3178531.01,106054.4392,60848.2861,277625.6101,102220.1394,65929.59276,681539.3325,166756.4975,120729.6447,41002.495
318.677/9.9,152105.9818,980570.9128,10000,499012.1508,657568.0895,1539292.9,414720.513,10076.95283,10000,79746.15788,82821.34038,78131.88832,189420.6652,19373.37817,449765.1047,9257639.872,7106165.391,616526.343,5365410.358,4069121.814,4095580.908,3066774.528,22397190.69,6437172.202,6603097.781,4737150.391,1996483.352,4653356.92,333841.839,3644176.115
371.145/8.7,777855.3163,372750.3688,248225.7806,1003947.164,305601.7224,1785782.085,1260770.936,2013011.082,280868.1499,723125.9848,520620.6816,1124621.116,699512.2247,551865.0837,409251.5811,515882.4493,4960539.387,1414733.898,967875.2994,3020686.886,2757761.245,1788695.806,1690189.068,1199889.115,2747808.839,1540775.392,648469.0739,1509846.467,4020827.639,3788893.911
241.965/2.1,695424.3663,1336457.908,1201610.019,1973956.544,777718.8674,1042946.312,2007997.728,1227922.863,817290.6362,602899.232,1543183.375,350372.8855,646711.9173,582758.813,853065.2577,242225.5526,386852.7136,476485.7194,118489.8274,42095.31324,1968992.563,311307.6633,301586.8901,245353.6474,543670.0065,230306.2102,961949.043,245295.7768,129953.3407,69825.11778
171.992/2.1,3231023.872,5098264.327,2966918.274,6364824.257,2558955.806,2019783.876,7251349.53,2424072.363,3934355.172,1464768.028,3035216.028,1480839.125,2986460.332,1808930.5,2570583.957,486778.7529,731574.5067,567341.7353,372810.8331,134075.1631,7277904.535,859829.3127,608971.0923,927524.1921,653728.6366,401538.5385,2116456.499,386248.9187,182502.953,287812.2661
111.039/2.1,5529392.058,8326727.722,372683.0767,3791045.535,4731567.945,3286728.765,12282509.98,4694958.509,6192880.972,5074577.67,596185.2107,2495739.436,4962114.83,9949339.726,3778062.993,1518470.769,1305361.047,663434.7224,445047.3097,962232.4258,8725606.763,1375597.894,413005.4416,1193003.859,551640.3872,905103.3471,4262567.568,658989.9307,614374.218,485766.144
185.041/2.1,3784689.088,5285169.498,3786811.115,2152091.511,3183936.991,447133.7511,7224542.43,430706.8617,4435133.955,3771987.982,501180.7608,1778091.476,3319174.114,6562216.401,2832897.181,1171991.829,494294.9802,865193.6702,464027.4932,373043.0948,5240359.904,397569.1494,639331.775,892159.3596,749932.0976,593711.9437,3158138.65,580644.6137,414973.9352,493368.4718
